Recipe_Name,Recipe_Ingredients,Cuisine
Pumpkin pie,"sweet short crust pastry case (or a packet of ready made sweet short crust pastry with 40g/1½oz crushed pecans mixed in) 450g/1lb prepared weight pumpkin flesh, cut into 1in/2.5 cm chunks 2 large eggs plus 1 yolk (use the white for another dish) 75g/3oz soft dark brown sugar 1 tsp ground cinnamon ½ level teaspoon freshly grated nutmeg ½ tsp ground allspice ½ tsp ground cloves ½ tsp ground ginger 275ml/10fl oz double cream",british
Banana bread,"285g/10oz plain flour  1 tsp bicarbonate of soda ½ tsp salt 110g/4oz butter, plus extra for greasing 225g/8oz caster sugar 2 free-range eggs 4 ripe bananas, mashed  85ml/3fl oz buttermilk (or normal milk mixed with 1½ tsp lemon juice or vinegar) 1 tsp vanilla extract",british
Caesar salad,"1 large free-range egg 1 large garlic clove, peeled and crushed 1 tbsp lime juice 2 tsp Worcestershire sauce 4-5 anchovy fillets, chopped 3 tbsp olive oil, plus a little extra for frying freshly ground black pepper 2 thick slices of white bread, crusts removed, cubed 1 cos lettuce, washed, dried, and torn into pieces 25g/1oz parmesan cheese, coarsely grated",british
Cheat's eggs Benedict,"6 tbsp hollandaise sauce  6 large, very fresh eggs  12 slices pancetta, grilled until crisp  3 English muffins, split in half horizontally  a little butter ",british
Key lime pie with ginger pastry,"400g/14oz plain flour  80g/3oz icing sugar 4 tsp ground ginger pinch salt 250g/9oz cold unsalted butter, cut into cubes 3 free-range eggs, yolks only  50ml/2fl oz ice cold water 1 tbsp olive oil (if needed) 2 x 400g tins condensed milk 240ml/8½fl oz freshly squeezed lime juice (about 7 limes) 4 tsp grated lime zest (about 7 limes), plus extra for garnish 4 eggs, separated 225g/8oz sugar 3 lumps of stem ginger, chopped 1 lime, very thinly sliced 1 tsp grated plain chocolate 6 sprigs mint icing sugar",british
Mac & cheese,"100g/3½oz butter, plus extra for greasing 100g/3½oz plain flour 1 tsp Dijon mustard 1.2 litres/2 pints full-fat milk 75ml/2½fl oz double cream 1 bay leaf 400g/14oz mature cheddar, grated pinch freshly grated nutmeg 500g/1lb 2oz dried macaroni 100g/3½oz smoked bacon lardons or smoked pancetta cubes 60g/2¼oz white breadcrumbs 50g/1¾oz Parmesan, grated salt and freshly ground black pepper",british
Popcorn bars,"200g/7oz dark chocolate (at least 70% cocoa solids), broken into pieces  50g/1¾oz puffed rice cereal  40g/1½oz salted popcorn  50g/1¾oz dried cranberries, halved  50g/1¾oz large marshmallows, quartered",british
Avocado salad,"¼ red onion, thinly sliced 400g tin cannellini beans, drained and rinsed 1 large avocado, peeled, stoned and thickly sliced 100g/3½oz cherry tomatoes, quartered  20g/¾oz fresh basil, roughly chopped ¼ lemon, juice only ½ tbsp extra virgin olive oil  salt and freshly ground black pepper",british
Banana muffins,"75g/3oz melted butter  250g/9oz self-raising flour  1 tsp baking powder  ½ tsp bicarbonate of soda  pinch of salt  ½ tsp ground cinnamon  ½ tsp ground nutmeg  115g/4oz caster sugar  1 tsp vanilla extract  2 large, ripe bananas  2 medium free-range eggs 125ml/4fl oz milk  10 walnut kernels (optional)  2 bananas, sliced  50g/2oz walnut kernels  2 tbsp crème fraïche or yoghurt  2 tbsp runny honey",british
Buffalo wings,"1kg/2lb 4oz chicken wings, tips removed and split into “drumettes” and “flats” vegetable oil, for deep frying a few celery sticks salt and freshly ground black pepper 50g/1¾oz butter 2 garlic cloves, crushed 125ml/4fl oz hot sauce  1 tbsp cider vinegar 1 tsp caster sugar 100g/3½oz creamy blue cheese  1 small onion, very finely chopped 100ml/3½fl oz buttermilk 150ml/5fl oz crème fraîche 1 tsp cider vinegar",british
Chopped salad,"400g tin chickpeas, drained and rinsed  1 iceberg lettuce, chopped ½ romaine lettuce, chopped 120g/4½oz Italian salami, cut into thin strips roughly 5cm/1¾in long 200g/7oz mozzarella, roughly chopped 3 tomatoes, roughly chopped ½ cucumber, roughly chopped small handful basil leaves, finely chopped flaked sea salt and freshly ground black pepper 4 tbsp olive oil 1 tbsp red wine vinegar ½ tsp mustard powder ½ tsp caster sugar",british
Damson cobbler,"900g/2lb damsons, washed and stalks removed 100g/4oz caster sugar 225g/8oz self-raising flour  2 tsp baking powder 75g/3oz chilled butter, diced 100g/4oz caster sugar, plus 1 tablespoon a pinch of salt 1 medium egg 100ml/4fl oz buttermilk 15g/1/2oz flaked almonds",british
Eggs Benedict,"6 eggs, at room temperature 2 tbsp white wine vinegar 6 English muffins, halved butter, for spreading 6 slices ham or smoked salmon 1–2 tbsp finely snipped fresh chives 225g/8oz butter, cubed 4 tbsp white wine vinegar 1 small shallot or ½ banana shallot, very finely chopped 10 black peppercorns 1 bay leaf 3 fegg yolks pinch sea salt pinch caster sugar",british
Healthy banana muffins,"125g/4½oz wholemeal flour 3 level tbsp light muscovado sugar 2 level tsp baking powder 1 medium free-range egg, beaten 50g/1¾oz low-fat plain yoghurt  50ml/2fl oz rapeseed oil, plus a little extra for greasing 2 ripe bananas (175g/6oz peeled weight), roughly mashed",british
Chocolate bark,"300g/10½oz white, milk or dark chocolate, roughly chopped candy canes, smashed edible glitter freeze dried raspberries or strawberries edible rose petals pistachios, roughly chopped flaked almonds sea salt  mini marshmallows salted pretzels, chopped",british
Cawl,"1kg/2lb 3oz neck of lamb (on the bone), preferably Welsh, cut into serving pieces 2 litres/3 pints 10½fl oz lamb stock 225g/8oz potatoes, peeled and roughly chopped 225g/8oz onions, roughly chopped 225g/8oz leeks, trimmed and sliced into 1cm/½in slices 225g/8oz carrots, peeled and roughly chopped 225g/8oz swede, peeled and roughly chopped",british
Turkey gravy,"turkey giblets 1 bay leaf 1 sprig of thyme 4 black peppercorns ½ onion, sliced 2 pints water pan juices from the roast turkey 25g/1oz plain flour  salt and pepper",british
Scones,"225g/8oz self raising flour pinch of salt 55g/2oz butter 25g/1oz caster sugar 150ml/5fl oz milk 1 free-range egg, beaten, to glaze (alternatively use a little milk)",british
Custard,"600ml/1 pint full-fat milk 1 vanilla pod 3 free-range eggs, yolks only 25g/1oz caster sugar 2 tsp cornflour",british
Game pie,"675g/1½lb mixed game meat such as pheasant, partridge, hare and rabbit, boned 225g/8oz venison steak cut into 2.5cm/1in cubes 2 tbsp sunflower oil 2 red onions, peeled and sliced 120g/4oz smoked streaky bacon, derinded and chopped 120g/4oz chestnut mushrooms, cleaned and sliced 1 clove garlic, peeled and crushed 30g/1oz plain flour 1 bay leaf 1 orange, zest and juice 1 tbsp redcurrant jelly 300ml/½ pint chicken stock 300ml/½ pint red wine 340g/12oz puff pastry Salt and pepper beaten egg, for glazing",british
Cherry scones,"225g/8oz self-raising flour, plus extra for dusting 1 tbsp baking powder 2 tbsp caster sugar 50g/2oz cold butter, cut into cubes 1 free-range egg 75ml/3fl oz milk 30g/2oz glacé cherries, chopped",british
Sloe gin,450g/1lb sloes 225g/8oz caster sugar 1 litre/1¾ pint gin,british
Bannock,"1 x 7g sachet fast-action yeast 1 tsp caster sugar 500g/1lb 2oz strong white flour 125g/4½oz unsalted butter, melted  250g/9oz dried mixed fruit 50g/2oz light muscovado sugar beaten egg, for glazing",british
Diggers,"120g/4½oz plain flour 225g/8oz caster sugar 100g/3½oz oats 85g/3oz desiccated coconut 125g/4½oz butter, plus extra for greasing 1 tbsp golden syrup 1 level tsp bicarbonate of soda 2 tbsp boiling water",british
Eggnog,"6 medium free-range eggs (preferably organic and as fresh as possible), separated 150g/5½ oz golden caster sugar 500ml/18fl oz whole milk 400ml/14fl oz double cream 350ml/12fl oz rum, bourbon or a mixture of the two, depending on your preference freshly grated nutmeg, to taste",british
Crumpets,175g/6oz strong white flour 175g/6oz plain flour 2 x 7g sachets instant yeast 1 tsp caster sugar 350ml/12fl oz warm milk 150-200ml/5-7fl oz warm water ½ tsp bicarbonate of soda 1 tsp salt sunflower oil for cooking,british
Easy Eton mess,"1 punnet strawberries a dash of sugar a dash of port meringues, broken up cream, softly whipped",british
Eton mess,"500g/1lb 2oz strawberries, hulls removed 400ml/14fl oz double cream 3 x 7.5cm/3in ready-made meringue nests, crushed 1 tbsp ginger cordial (optional) sprigs of fresh mint, to garnish",british
Fish cakes,"450g/1lb potato, chopped into chunks 450g/1lb mixed frozen fish such as cod, haddock, salmon, smoked haddock 2 tbsp chopped fresh parsley 1 free-range egg, beaten vegetable oil, for frying salt and freshly ground black pepper",british
Kedgeree,"½ onion,  finely chopped  55g/2oz butter 300g/10½oz  basmati rice 1 tsp madras curry powder freshly grated nutmeg 200ml/7fl oz milk 110ml/4fl oz double cream 300g/10½oz naturally smoked haddock, (NOT dyed) picked over, bones removed and flesh cut  into chunks sea salt and cracked black pepper small bunch parsley, chopped 3 hard-boiled eggs, shelled and halved  good pinch cayenne and freshly ground nutmeg (optional) knob of butter wedges of lemon",british
Mincemeat,"225g/8oz vegetarian suet 225g/8oz Bramley apples, peeled, cored and chopped 125g/4oz candied peel, chopped 225g/8oz sultanas 225g/8oz raisins 225g/8oz currants 175g/6oz demerara sugar 1 tsp mixed spice 1 orange, zest and juice 60ml/2fl oz brandy",british
Tea loaf,"400g/14oz strong bread flour, plus extra for dusting 1½ tsp salt 40g/1½oz caster sugar 40g/1½oz butter, softened, plus extra for greasing 10g/¼oz fast-action dried yeast 120ml/4fl oz milk 50g/1¾oz sultanas 60g/2¼oz glacé cherries 1 tsp ground cinnamon 3 oranges, zest only 200g/7oz icing sugar butter, to taste",british
Apple sauce,"225g/8oz cooking apples, peeled, cored and chopped ½ lemon, zest only 2 tbsp water 15g/½oz butter 1 tsp caster sugar",british
Black bun,"300g/10½oz plain flour 75g/3oz lard, cubed 75g/3oz butter, cubed pinch salt ½ tsp baking powder 1 free-range egg, beaten, for glazing 200g/7oz plain flour 300g/10½oz raisins 300g/10½oz currants ½ tsp ground ginger ½ tsp ground cinnamon ½ tsp ground allspice ½ tsp mixed spice ¼ tsp ground black pepper 100g/3½oz dark muscovado sugar 100g/3½oz mixed peel, chopped ½ tsp bicarbonate of soda 2 tbsp whisky 1 free-range egg  3 tbsp buttermilk",british
Lighter cranachan,"75g/2½fl oz porridge oats 35g/1oz flaked almonds 300ml/10fl oz double cream 150g/5½oz half-fat crème fraîche ½ tsp vanilla extract 3 tbsp whisky 3 tbsp clear honey, plus extra for drizzling 400g/14oz fresh raspberries 2-3 tbsp caster sugar",british
Scottish cranachan ,knob of butter 100g/3½oz light muscovado sugar 100g/3½oz jumbo oats 250g/9oz mascarpone  300ml/½ pint double cream 75ml/2½fl oz whisky 450g/1lb raspberries,british
Classic cranachan,"570ml/1 pint double cream 85g/3oz porridge oats 7 tbsp whisky 3 tbsp honey 450g/1lb raspberries fresh mint, to garnish",british
Lighter Eton mess,"4 meringue nests 300g/10½oz strawberries, halved  300ml/10fl oz plain yoghurt ",british
Flapjacks,"175g/6oz butter 175g/6oz golden syrup 175g/6oz muscovado sugar 350g/12oz porridge oats ½ unwaxed lemon, finely grated zest only pinch ground ginger",british
Bunny chow,"2 tbsp vegetable oil ½ tsp cumin seeds ½ tsp fennel seeds 2.5cm/1in piece of cinnamon stick 2 green cardamom pods 1 star anise 1 bay leaf 1 onion, finely chopped 2 tbsp South African curry powder  2 tomatoes, chopped 1kg/2lb 2oz boneless leg of lamb, cut into 1.5cm/½in dices 1 tbsp finely chopped fresh ginger 1 tbsp finely chopped garlic  10-12 curry leaves 2 large potatoes, cut in cubes the same size as the meat salt 2 tbsp finely chopped coriander leaves 2 tbsp lime juice 2 loaves of crusty white bread, unsliced, each cut across in half in the middle and most of the crumbs removed  coriander cress or sprigs, to garnish",caribbean
Jollof rice with fried plantains,"1 tbsp olive or vegetable oil 2 large onions, sliced 2 x 400g/14oz cans plum tomatoes 1 red pepper, diced 4 tbsp tomato purée ¼ tsp cayenne pepper or chilli powder 1 tsp curry powder 1 bay leaf sprig fresh thyme 1 stock cube 225g/8oz long-grain or basmati rice salt and freshly ground black pepper 2 plantains, cut into slices and deep fried green leaf salad",caribbean
Jollof rice,"400ml/14fl oz passata 3 tbsp tomato purée 2 fresh red Scotch bonnet chillies, seeds removed 2 onions, chopped 2 red peppers, seeds removed and roughly chopped 8 garlic cloves, peeled 3 tbsp fresh rosemary leaves 1 tbsp fresh thyme leaves 2 tsp ground coriander 1½ tsp sweet smoked paprika 50ml/2fl oz olive oil 150g/5½oz cherry tomatoes, halved 800ml/1½ pints chicken stock or vegetable stock 2 bay leaves 500g/1lb 2oz long-grain rice, rinsed  2 tbsp sunflower oil 2 ripe plantains, peeled and thickly sliced small handful of coriander leaves, roughly chopped sea salt and freshly ground black pepper green salad, to serve",caribbean
Suya fillet burger with sweet potato cubes and watermelon salad,"4g smoked paprika  2g cayenne pepper 6g ginger powder 4g garlic powder 1g ground black pepper 11g onion salt  7g ground turmeric  6g extra hot chilli powder 1g ground uda pods (also known as selim pepper) 1 large egg yolk 4 tsp suya spice (see above) 2 tsp fresh lemon juice 125ml/4fl oz rapeseed oil 1-2 tsp just-boiled water 75g/2½oz peeled and deseeded watermelon, cut into 1cm/½in cubes  75g/2½oz cucumber, cut into 1cm/½in cubes 75g/2½oz feta cheese, cut into 1cm/½in cubes 1 tbsp finely chopped fresh curly leaf parsley large pinch nigella seeds, toasted 200g/7oz purple sweet potato (see tip) 200g/7oz sweet potato vegetable oil, for deep frying 1 medium red onion, cut into rings  2 tbsp olive oil, for frying  1 tsp golden caster sugar 2 x 125g/4½oz beef fillet steaks ½ tsp coarsely ground black pepper  2 white ciabatta rolls, cut in half 2 tbsp ‘suyannaise’ (see above) 1 beef tomato, sliced into rounds 1 Little Gem lettuce, shredded 2 tsp suya spice, plus extra to taste 50g/1¾oz smoke-flavoured vintage cheddar cheese, grated",caribbean
Jollof rice with chicken ,"300g/10½oz basmati rice 1 tbsp vegetable oil 8 boneless, skinless chicken thighs, cut in half 1 onion, roughly chopped 3 garlic cloves, grated 5cm/2 in piece fresh root ginger, peeled and finely grated 1 red chilli, deseeded and finely chopped 1 tsp smoked paprika 2 tbsp tomato purèe 700ml/1¼ pint tomato passata 300ml/10fl oz chicken stock, from a cube 2 red peppers, deseeded and roughly chopped 2 tbsp roughly chopped fresh coriander freshly ground black pepper",caribbean
Red-red stew with spiced plantain,"2 tbsp ground ginger 1 tbsp ground cinnamon 1 tbsp ground nutmeg 1 tbsp cayenne pepper ½ tbsp ground cloves 200g/7oz dried black-eyed beans or 1 x 400g tin black-eyed beans, drained and rinsed 75ml/2½fl oz vegetable oil 2 red onions, finely chopped 2.5cm/1in piece fresh root ginger, finely grated ½ tbsp dried chilli flakes ½ red scotch bonnet chilli, deseeded and diced ½ tsp curry powder ½ tbsp chilli powder 1 x 400g tin chopped tomatoes 4 plum tomatoes, roughly chopped 1 tbsp tomato purée  1 tsp sea salt ½tsp ground black pepper garri, for sprinkling  1 heaped tbsp kelewele dry spice mix, from above 1 small red onion, grated 5cm/2in fresh root ginger, grated pinch sea salt vegetable oil, for deep-frying  4-6 ripe plantains, peeled and cut into chips handful roasted peanuts, crushed handful micro coriander cress 1 red chilli, thinly sliced handful nasturtium flowers and leaves",caribbean
Bobotie,"50ml/2fl oz olive oil 1 onion, chopped 2 garlic cloves, crushed 500g/1lb 2oz lamb mince 1 tbsp hot curry powder 1 lemon, juice and zest only  2 tbsp mango chutney 75g/2½oz sultanas 75g/2½oz toasted almonds 1 slice white bread, soaked in milk for 1 minute then squeezed dry salt and freshly ground black pepper 4 bay leaves 3 free-range eggs 150ml/5fl oz milk rice, cooked according to packet instructions chutneys of your choice  yoghurt",caribbean
South-African bobotie,"butter, for greasing 400ml/14fl oz full-fat milk 50g/1¾oz fresh white breadcrumbs 4 large free-range eggs, beaten 1 tbsp olive oil 1kg/2lb 4oz lamb mince 2 onions, finely chopped 1 bay leaf 2 garlic cloves, crushed 2 tbsp madras curry paste 250ml/9fl oz lamb stock 2 tbsp Worcestershire sauce 2 tbsp mango chutney 50g/1¾oz raisins 50g/1¾oz dried apricots, chopped 1 tbsp cider vinegar",caribbean
Bunny chow,"1 tbsp olive oil 1 onion, thinly sliced 2 garlic cloves, finely chopped 1 green chilli, finely chopped 1 thumb-sized piece fresh ginger root, peeled and finely chopped 15 fresh curry leaves 2 tsp ground cumin 1 tsp fennel seeds 2 tsp ground coriander 1 tsp ground turmeric 2 tsp black mustard seeds 1 tbsp tomato purée 3 plum tomatoes, finely chopped 100g/3½oz tamarind paste 20 raw king prawns, peeled and deveined  salt and freshly ground black pepper  2 small unsliced whole white bread loaves, cut in half and hollowed out 2 tbsp toasted coconut flakes 2 tbsp fried curry leaves 2 tbsp fresh coriander cress 2 tbsp fresh basil cress",caribbean
Zoe’s jollof ,"8 bone-in chicken thighs or drumsticks 1 large onion, roughly chopped 1 Scotch bonnet chilli, de-seeded, finely chopped 1 tbsp fresh or dried thyme leaves 2 tbsp crayfish powder (available from online specialists) 6 Guinea peppers (also known as grains of paradise), crushed 6 large tomatoes, roughly chopped 200g/7oz tomato purée 1 tsp salt 4 tbsp peanut oil or sunflower oil  1 large onion, finely chopped 2 garlic cloves, crushed 1 tsp ground hot chilli powder 300g/10½oz long-grain white rice, washed and drained handful chopped fresh parsley and coriander, to garnish ",caribbean
Zanzibar chicken,"2 tbsp groundnut oil 1 large chicken, jointed into 8 pieces, skin on 2 onions, finely chopped 3 garlic cloves, crushed  2 green chillies, chopped 3 green or red tomatoes, finely chopped ½ tsp ground turmeric ½ tsp cumin seeds ½ tsp coriander seeds 4 green cardamom pods 2 limes, juice only 275ml/½ pint chicken stock 2 x 400ml/14fl oz cans coconut milk 1 bunch basil cooked basmati rice, to serve",caribbean
Vegan chilli with peanut butter cabbage,"3 tbsp olive oil 1 small onion, chopped 2 carrots, diced ½ red pepper, seeds removed and chopped ½ yellow pepper, seeds removed and chopped ½ green pepper, seeds removed and chopped 100g/3½oz green beans, chopped 2 tomatoes, chopped 3–4 chillies, seeds removed and flesh chopped salt and freshly ground black pepper 375g/13oz white cornmeal (mealie meal) ½ small cabbage (or any seasonally vegetable), shredded 1 small onion, chopped 1 tomato, chopped 4 tbsp peanut butter",caribbean
Marinated vegetables,"1 butternut, peeled and sliced 2 large sweet potatoes, peeled and sliced ¼ kabocha pumpkin, peeled and cubed 2 green courgette, cubed 2 yellow courgette, cubed 1 large aubergine, cubed 4 lemons, juice only 50ml/2fl oz balsamic vinegar 1 tsp ginger powder 2 tbsp dark soy sauce olive oil 50g/ 2oz fresh ginger, chopped salt and freshly ground black pepper",caribbean
Chocolate mealie meal pudding,"5 eggs 5 egg yolks 125g/4oz caster sugar 250g/9oz dark cooking chocolate, chopped 250g/9oz unsalted butter, cut into cubes 40g/1½oz mealie meal or maize meal 20g/¾oz flour cocoa powder, for dusting softened butter, for greasing",caribbean
Goat stew,"1kg/2lb 5½oz goat meat cut into 2.5cm/1in pieces salt and freshly ground black pepper  3 tbsp vegetable oil 25g/1oz butter 1 large onion, finely chopped 2 garlic cloves, chopped 4 carrots, finely chopped 2 tsp tomato purée ¼ tsp cloves ¼ tsp ginger powder pinch cayenne pepper 2 tbsp lemon juice 450ml/15fl oz lamb or beef stock 2-3 sprigs fresh thyme 1 bay leaf  salt and freshly ground black pepper 1 medium cabbage, shredded salt 3-4 tbsp (or to taste) peanut butter 200g/7oz millet, cooked according to packet instructions",caribbean
Swahili chicken and papaya salad,"4 chicken breasts, each cut into three long strips 1 tsp crushed black peppercorns pinch of cayenne pepper 1 tsp ground cinnamon 1 tsp ground ginger 1 tsp chilli 1 tsp turmeric 1 tsp coriander seeds 1 tsp ground cumin 1 lime, juice only 2 tbsp olive oil 1 lemon grass stalk  2.5cm/1in fresh ginger, chopped 2 large garlic cloves, crushed 2 shallots, finely chopped 2 red chillies, chopped 1 tsp garam masala 1 tsp ground turmeric 400ml/14fl oz coconut milk 1 tin of chopped tomatoes  1 tbsp of coriander leaves 1 papaya, peeled and sliced lengthways 1 red onion, peeled and sliced 1 lime, juice only  olive oil dash of sweet chilli sauce. rice to serve",caribbean
Cape Malay vegetarian curry,"1 tsp cloves 1 tsp fennel seeds  1 tsp black mustard seeds 4 cardamom pods, seeds only ½ tsp black peppercorns  1 tsp ground cumin 1 dried red chilli  1 tsp coriander seeds 1 tbsp ground turmeric 1 cinnamon stick 1 tsp ground ginger 4 curry leaves handful dried apricots 1 tbsp olive oil 1 red onion, roughly chopped 1 red pepper, seeds removed, roughly chopped 1 yellow pepper, seeds removed, roughly chopped 2 garlic cloves, finely chopped 1 small cauliflower, cut into bite-sized pieces  400g tin chickpeas, drained and rinsed handful green beans, roughly chopped 1 heaped tbsp peach chutney 2 tbsp roughly chopped parsley 320g/11oz long-grain rice, to serve 4 flatbreads, to serve",caribbean
Chicken bastilla with orange salad,"3 tbsp olive oil 4 large onions, sliced 700g/1lb 9oz boneless, skinless chicken thighs or breasts 20g/¾oz fresh coriander, finely chopped 3 garlic cloves, crushed 1 tsp ras el hanout ¼ tsp ground turmeric ¼ tsp ground ginger 1/8 tsp ground black pepper 150ml/5fl oz chicken stock 2 tbsp runny honey 2 tsp ground cinnamon, plus extra for dusting 100g/3½oz blanched almonds 100g/3½oz shelled unsalted pistachio nuts 2 tbsp caster sugar 50g/1¾oz unsalted butter 5 large free-range eggs  325g/11½oz filo pastry sheets 3 lemons, finely grated zest only 1 free-range egg yolk icing sugar, for dusting salt 3 tbsp olive oil 1 tbsp dried thyme 1 tsp lemon juice 5 oranges, peeled and segmented 200g/7oz carrots, peeled and cut into thick ribbons 1 large cucumber, peeled and cut into thick ribbons 150g/5½oz black olives, pitted and chopped 85g/3oz walnuts, roughly chopped sea salt flakes",caribbean
Lamb and apricot Cape Malay curry ,"1 shoulder of lamb (approximately 1kg/2lb 4oz), diced 1 tsp ground coriander 1 tsp ground cumin 1 tsp garam masala 2 tsp ground turmeric 1 tbsp tamarind paste 2 tsp dried chillies  1 tsp fennel seeds 3 garlic cloves  1 cinnamon stick 3 garlic cloves, finely grated 1 red chilli, finely chopped 1cm/½in piece fresh root ginger, finely grated 2 tbsp sunflower oil 2 onions, thinly sliced 2 tsp dried chilli flakes 1 tsp fennel seeds 3 garlic cloves 1cm/½in piece fresh root ginger, finely grated 2 tbsp tomato purée 400g tin chopped tomatoes large handful dried apricots, roughly chopped 2 tbsp apricot chutney 100g/3½oz desiccated coconut bunch fresh coriander, roughly chopped, to serve 50g/1¾oz fresh coconut, grated, to serve 500g/1lb 2oz dried couscous 1 small cucumber, diced 1 pomegranate, seeds only bunch fresh basil, roughly chopped bunch flatleaf parsley, roughly chopped bunch fresh coriander, roughly chopped handful dried apricots, roughly chopped  4 spring onions, roughly chopped ",caribbean
Goat and tomato bredie,"12 peppercorns 2 cardamom pods 12 cloves 2 tbsp oil  2 large onions, sliced 100g/3½oz piece cooking chorizo 140ml/4½fl oz chicken stock  2 cinnamon sticks 2.5cm/1in root ginger, grated 1 green chilli, chopped 2 goats' leg steaks 680g/1½ lb new potatoes, halved lengthways 110g/4oz tomatoes, quartered  2 tbsp chopped fresh parsley sea salt and freshly ground black pepper",caribbean
Grilled pork chops with blatjang and radishes,"80g/3oz salt 1 tsp coriander seeds 1 tsp fennel seeds 2 star anise 1 tbsp roughly chopped stem ginger 250g/9oz pork chops, trimmed  350g/12oz dried apricots 175g/6oz raisins 7g/¼oz black mustard seeds 7g/¼oz white mustard seeds 250g/9oz caster sugar 375ml/13fl oz cider vinegar 100g/3½oz ground almonds handful dried apricots, finely chopped  1 red chilli, finely chopped handful fresh coriander leaves ½ mooli, thinly sliced ½ black radish, thinly sliced 10 breakfast radishes, thinly sliced olive oil, for drizzling salt and freshly ground black pepper  watercress, to serve",caribbean
Jollof Quorn pilau with salted cucumber ,"30g/1oz ground ginger  30g/1oz garlic granules 45g/1½oz chilli flakes  20g/¾oz dried thyme  20g/¾oz ground cinnamon  15g/½oz ground nutmeg 20g/¾oz ground coriander  1 tbsp salt  1 tbsp ground black pepper  500g/1lb 2oz basmati rice  5 tbsp olive oil  1 onion, diced  2 tsp salt  300g/10½oz Quorn pieces  4 tbsp jollof spice mix (see above) 1 large cucumber, cut in half lengthways and thinly sliced on an angle  1 red onion, thinly sliced  20g/¾oz rock salt ",caribbean
"Beef, black-eyed bean and plantain hotpot ","350g/12oz dried black-eyed beans 900g/2lb sirloin steak, cut into 1cm/½ in cubes 225ml/8fl oz vegetable oil 100ml/3½fl oz red palm oil or vegetable oil 1 large white onion, chopped 4 garlic cloves, finely chopped 4cm/2in piece ginger, grated 1 tsp dried chilli flakes 2 x 400g tins chopped tomatoes 2 tbsp tomato purée 2 beef stock cubes 2 sprigs fresh thyme 1 Scotch bonnet chilli, chopped 3 ripe plantain, peeled and sliced salt and freshly ground black pepper",caribbean
Senegalese couscous with beef and vegetable sauce,"150g/5½oz millet couscous 150g/5½oz corn couscous 200g/7oz fonio (or quinoa) 1 tbsp butter 2 tbsp vegetable oil  750g/1lb 10oz beef (topside), cut into chunks 100ml/3½fl oz tomato purée  100ml/3½fl oz tomato passata   salt and freshly ground black pepper to taste 250g/9oz onions, chopped 100g/3½oz carrots, chopped 100g/3½oz turnips, chopped 100g/3½oz sweet potatoes, chopped ½ leek, chopped 1 celery stick, chopped 1 garlic clove, crushed",caribbean
BBQ sauce,"1 small onion, chopped 3 cloves garlic, crushed olive oil 1 red chilli, finely chopped 1 tsp fennel seeds, crushed 55g/2oz dark brown sugar 50ml/1¾fl oz dark soy sauce 300ml/10fl oz tomato ketchup salt and pepper",caribbean
Waffles,"450ml/16fl oz full-fat milk  3 large free-range eggs, separated  125ml/4fl oz vegetable oil  1 tsp vanilla extract  225g/8oz plain flour  2 tsp baking powder  3 tbsp caster sugar  ¼ fine sea salt  maple syrup, blueberries, or other berries, to serve ",caribbean
Vanilla cupcake,"100g/3½oz unsalted butter 250g/9oz caster or brown sugar 50ml/2fl oz sunflower oil 25g/1oz arrowroot or cornflour 2 tsp vanilla extract 4 medium free-range eggs 80ml/2½fl oz milk 100ml/3½fl oz double cream 300g/10½oz plain flour 3 tsp baking powder 300g/10½oz icing sugar 25g/1oz liquid glucose 50g/1¾oz condensed milk 2 tsp vanilla extract or other flavouring 200g/7oz unsalted butter, softened 100g/3½oz baking margarine, softened 200g/7oz icing sugar 100ml/3¾fl oz double cream few drops food colouring or flavouring sugar sprinkles, to decorate",caribbean
Pecan pie,"110g/4oz unsalted butter 110g/4oz golden syrup 1 tsp vanilla extract 225g/8oz light soft brown sugar 3 free-range eggs, beaten 1 x 245g/8½oz blind-baked shortcrust pastry case 285g/10oz pecan nuts, halved",caribbean
Cherry pie,"150g/5oz good-quality black cherry jam 100ml/3½fl oz water 1 tbsp ground arrowroot, mixed to a paste with 2 tbsp water 750g/1½lb fresh red cherries, stalks and stones removed 250g/9oz plain flour, plus extra for dusting 175g/6oz fridge-cold unsalted butter, cut into cubes 1 tbsp caster sugar, plus 2 tsp for topping 1 large free-range egg, beaten 1 tbsp cold water",caribbean
Cornbread,"375g/13oz plain flour 225g/8oz cornmeal 1 tsp salt 4 tsp baking powder 110g/4oz sugar 480ml/17fl oz milk 2 free-range eggs  110g/4oz butter, melted, plus extra for greasing  small tin sweetcorn kernels, drained (or use fresh sweetcorn)",caribbean
Doughnuts,"1 tbsp yeast 4 tbsp caster sugar 150ml/5¼fl oz milk, warmed 225g/8oz plain flour, plus extra for dusting ¼ tsp salt 50g/2oz butter, melted 1 free-range egg, beaten 300ml/10½fl oz vegetable oil, for deep-frying jam of your choice",caribbean
